,l3.1,l3.2,l11.1,l11.2
ENSG00000262516,0,0,0,0
ENSG00000262521,0.85043,0.588061,0.232157,0.262576
ENSG00000262526,0,0,0,0
ENSG00000262528,0.100277,0.0890477,0,0.723054
ENSG00000262529,0,0,0,0
ENSG00000262533,0,0.220439,0.260189,0
ENSG00000262539,0,0,0,0
ENSG00000262558,0,0,0,0
ENSG00000262560,0.0860536,0.306068,0.0255093,0
ENSG00000262580,3.46199,3.57011,3.94613,4.97312
ENSG00000262587,1.20606,1.41552,0.775177,1.03457
ENSG00000262623,0,0,0,0
ENSG00000262624,1.10256,0.683921,0,0
ENSG00000262633,0,0,0.000913174,0
ENSG00000262636,0,0,0,0
ENSG00000262652,0.28749,0.394381,0.628703,1.76034
ENSG00000262660,0,0,0,0
ENSG00000262663,0,0.668116,0.396966,0.447132
ENSG00000262668,1.00212,0.57687,0.642872,0.819844
ENSG00000262681,0.0192495,0,0.0844855,0
ENSG00000262691,0.712509,0.705618,0.916239,0.977992
ENSG00000262692,0,0,0,0
ENSG00000262700,0,0,0,0
ENSG00000262703,0,0,0,0
ENSG00000262708,0,0,0,0
ENSG00000262712,2.41596,2.53268,2.22488,1.32896
ENSG00000262714,0.0624114,0.168278,0.0342292,0.0375858
ENSG00000262721,0,0,0,0
ENSG00000262728,0.667552,0.888505,0.880676,1.72409
ENSG00000262730,0,0.379541,0,0
ENSG00000262732,0.0153586,0.0282267,0.0172418,0.0492699
ENSG00000262766,3.42461,4.03678,4.27712,4.20394
ENSG00000262768,0,0,0.305154,0.170793
ENSG00000262769,0,0,0,0
ENSG00000262777,0,0.351724,0,0
ENSG00000262786,0.0728327,0,0,0
ENSG00000262791,0,0,0,0
ENSG00000262801,0,0,0,0
ENSG00000262803,0,0,0,0
ENSG00000262810,2.20678,0.766727,0.37102,1.25146
ENSG00000262815,0,0,0,0
ENSG00000262823,0,0,0,0
ENSG00000262831,0,0,0,0
ENSG00000262833,0.0407605,0,0.0446295,0.0244114
ENSG00000262837,0.931581,0.902269,0.266261,0
ENSG00000262848,0,0,0,0
ENSG00000262873,0.647971,0,0,0.130251
ENSG00000262877,8.03949,7.11667,6.00558,7.87351
ENSG00000262879,15.4222,16.2778,13.8745,16.299
ENSG00000262880,0.406088,0.506249,0.37901,0.460122
ENSG00000262881,0,0,0,0.379394
ENSG00000262884,0,0,0,0
ENSG00000262898,0.603484,0.0550998,0,0
ENSG00000262899,0,0,0,0
ENSG00000262903,1.13108,0.31556,1.04822,0.739804
ENSG00000262905,0,0,0,0
ENSG00000262921,0.331363,0,0,0.406884
ENSG00000262966,0,0.0100373,0,0.0403591
ENSG00000262967,0,0,0,0
ENSG00000262979,0.126383,0,0,0
ENSG00000262990,0,0,0,0
ENSG00000262995,0,0,0,0
ENSG00000262999,0.0291835,0.052441,0.064048,0.0377495
ENSG00000263011,0.835834,0.78345,1.36695,0.519351
ENSG00000263015,0,0,0,0
ENSG00000263017,0,0,0,0
ENSG00000263020,3.10847,6.6188,4.40961,5.66658
ENSG00000263033,0,0,0.151906,0.083969
ENSG00000263041,0,0,0,0
ENSG00000263045,0,0,0,0
ENSG00000263050,0.220867,0.203846,0.241098,0.272925
ENSG00000263051,0,0,0,0
ENSG00000263063,0,0.152546,0.184722,0.408728
ENSG00000263065,0,0,0,0
ENSG00000263070,0,0,0,0
ENSG00000263080,4.45404,2.50689,2.62679,1.49073
ENSG00000263081,0,0,0.533095,0
ENSG00000263089,0.105139,0.0537494,0.0494604,0.0729292
ENSG00000263096,0,0,0,0
ENSG00000263105,3.09521,1.08011,0,0.481257
ENSG00000263107,0,0,0,0
ENSG00000263110,0,0,0,0
ENSG00000263120,0.0925752,0.0508609,0.0751337,0.0819776
ENSG00000263126,0.474927,0.671976,0.380158,0.778909
ENSG00000263154,0,0,0,0
ENSG00000263159,0,0,0,0
ENSG00000263164,0,0,0,0
ENSG00000263165,0.355019,0,0,0.218335
ENSG00000263167,0,0,0,0
ENSG00000263171,0,0,0,0
ENSG00000263176,0,0.136644,0,0
ENSG00000263189,0,0,0,0
ENSG00000263199,0,0,0,0
ENSG00000263207,0.412965,0,0.150546,0
ENSG00000263212,0.292094,0,0,0
ENSG00000263218,0,0,0,0
ENSG00000263220,0.532528,0,0,0.43667
ENSG00000263234,0,0.136434,0.12742,0.094954
ENSG00000263235,2.52775,2.28513,0.973202,2.48243
ENSG00000263237,0,0,0,0
ENSG00000263244,0,3.00E-08,0,0
ENSG00000263257,0.0608295,0.0506027,0,0.148462
ENSG00000263271,0,0,0,0
ENSG00000263272,1.10157,0.719688,1.03042,1.04832
ENSG00000263276,0.451789,0.184052,0.309637,0.523811
ENSG00000263278,0,0,0,0
ENSG00000263279,0.387028,0,0.422709,0
ENSG00000263280,2.40028,2.8908,2.22066,1.33585
ENSG00000263300,0.397482,0.181028,0,0
ENSG00000263301,1.80829,0.336424,0,0.449759
ENSG00000263305,0,0,0,0.188076
ENSG00000263311,0.256669,0,0,0
ENSG00000263316,0,0,0,0
ENSG00000263325,0,0,0,0
ENSG00000263326,0.724214,0.110002,0.396194,0.147364
ENSG00000263331,0,0.235834,0,0
ENSG00000263335,0.863542,0.84982,0.12737,0.0268739
ENSG00000263338,0.312186,0.753911,0.341239,0.57439
ENSG00000263345,0,0.620362,0.0992003,0
ENSG00000263369,0,0,0,0
ENSG00000263370,0,0,0,0
ENSG00000263388,0,0,0,0
ENSG00000263393,0,0,0.173668,0
ENSG00000263394,0,0,0,0
ENSG00000263396,0,0,0,0
ENSG00000263424,0,0,0,0
ENSG00000263427,0.174997,0,0,0
ENSG00000263443,0.183285,0.337047,0.200205,0.225587
ENSG00000263450,0,0,0,0
ENSG00000263466,0.225615,0,0,0
ENSG00000263477,0,0,0.0928114,0
ENSG00000263494,0,0,0,0
ENSG00000263499,0,0,0,0
ENSG00000263501,0,0,0,0
ENSG00000263508,0,0,0,0
ENSG00000263531,0,0,0.202857,0
ENSG00000263547,0,0,0,0
ENSG00000263551,0.507961,0.39308,0.230608,0
ENSG00000263567,0,0,0,0
ENSG00000263571,0,0,0,0
ENSG00000263574,0,0,0.0693433,0
ENSG00000263585,0.215549,0,0,0
ENSG00000263588,0,0,0,0
ENSG00000263594,0,0,0,0
ENSG00000263603,0,0.840306,0.108233,0.360892
ENSG00000263612,0,0,0,0
ENSG00000263618,0,0,0,0
ENSG00000263620,2.41443,6.2075,3.54356,6.59761
ENSG00000263624,0,0,0,0
ENSG00000263635,0,0,0,0
ENSG00000263637,0,0,0,0
ENSG00000263644,0,0,0,0
ENSG00000263648,0.344583,0.641466,0,0
ENSG00000263655,0,0,0,0
ENSG00000263657,0,0.137316,0,0.183898
ENSG00000263667,0.100069,0.0451017,0.109708,0.181306
ENSG00000263677,0,0.291068,0,0
ENSG00000263680,0,0,0,0
ENSG00000263683,0,0,0,0
ENSG00000263684,0,0,0.155748,0
ENSG00000263688,0,0,0,0
ENSG00000263698,0,0,0,0
ENSG00000263707,0,0.982289,0,0
ENSG00000263708,0,0,0,0
ENSG00000263709,0,0,0,0
ENSG00000263720,0,0,0,0
ENSG00000263727,0,0,0,0.664338
ENSG00000263729,0,0,0,0
ENSG00000263731,1.59321,1.43041,1.78999,1.55775
ENSG00000263745,0,0,0.0164286,0
ENSG00000263756,0,0.136983,0,0
ENSG00000263765,0,0,0,0
ENSG00000263772,0,0,0,0.395336
ENSG00000263781,0,0,0,0
ENSG00000263786,1.34091,0.81361,2.20149,1.22624
ENSG00000263797,0,0,0,0
ENSG00000263798,0.19036,0.338366,0,0
ENSG00000263809,0.194438,0.0350833,0.212725,0.11539
ENSG00000263821,0,0,0,0
ENSG00000263823,1.08844,0.627288,0.572879,0.630438
ENSG00000263826,0.138018,0.198359,0.060562,0.0996875
ENSG00000263847,0.162651,0,0.356972,0.399306
ENSG00000263859,0,0,0,0
ENSG00000263870,0,0,0,0
ENSG00000263893,0,0,0,0
ENSG00000263895,0,0,0.389301,0
ENSG00000263904,0,0,0,0.837713
ENSG00000263916,0,0,0.422709,1.50643
ENSG00000263917,3.05426,1.2531,2.76403,3.17321
ENSG00000263923,0,0,0,0
ENSG00000263924,0,0,0,0
ENSG00000263938,0,0.251726,0.34764,0.245785
ENSG00000263946,0,0,0,0
ENSG00000263952,0,0,0,0
ENSG00000263963,0,0,0,0
ENSG00000263970,0,0,0,0
ENSG00000263982,0,0,0,0
ENSG00000263986,0,0,0,0
ENSG00000263990,0,0,0.208165,0
ENSG00000264000,0,0,0,0
ENSG00000264007,0.130389,0,0.427887,0.637617
ENSG00000264012,0,0,0,0
ENSG00000264015,0.0966858,0.330195,0,0
ENSG00000264016,0,0,0,0
ENSG00000264019,0.211418,0.0648739,0.324124,0
ENSG00000264023,0,0.236782,0,0
ENSG00000264029,0,0,0,0
ENSG00000264040,0,0,0.39132,0
ENSG00000264044,0,0,0,0
ENSG00000264050,0.112149,0,0,0
ENSG00000264057,0,0,0,0.684038
ENSG00000264058,0.38292,0.380818,0.25325,0.352662
ENSG00000264063,30.7796,1.87104,4.46132,15.9671
ENSG00000264066,0,0,0,0
ENSG00000264067,0,0,0,0.336348
ENSG00000264072,0,0,0,0
ENSG00000264078,0,0,0,0
ENSG00000264080,0,0,0,0
ENSG00000264083,0.343508,0.6853,0.618091,0.411274
ENSG00000264104,0,0,0,0
ENSG00000264108,0,0,0,0
ENSG00000264112,13.7443,12.1588,13.8337,16.1598
ENSG00000264116,0,0.0909122,0,0.0403532
ENSG00000264125,1.97102,3.58999,4.44069,5.1545
ENSG00000264145,0,0.159402,0.0816595,0.147658
ENSG00000264148,9.50376,4.31148,3.35593,1.90218
ENSG00000264149,0,0,0,0
ENSG00000264151,0,0.0837956,0,0.112263
ENSG00000264164,0,0,0,0
ENSG00000264174,0,0,0,0
ENSG00000264177,0.01288,0.0230856,0,0.0154706
ENSG00000264179,0,0,0,0
ENSG00000264187,0.458515,0.145827,0.300514,1.1057
ENSG00000264188,0.700299,0.875236,0.381007,0
ENSG00000264193,0,0,0,0
ENSG00000264196,0,0,0,0
ENSG00000264207,3.69342,2.65625,2.40372,1.95404
ENSG00000264212,0,0,0,0
ENSG00000264215,0,0,0,0
ENSG00000264243,0,0.0860162,0.103759,0
ENSG00000264270,0,0,0,0
ENSG00000264272,0,0.16263,0.193404,0
ENSG00000264273,0,0,0,0
ENSG00000264289,0,0,0,0
ENSG00000264290,0.409839,0.566562,0.447662,0
ENSG00000264296,0,0,0,0
ENSG00000264300,0.949279,1.75269,0,0
ENSG00000264304,0,0.142254,0,0
ENSG00000264324,0.16774,0.0510963,0.0965188,0.0397485
ENSG00000264334,0.0990151,0,0,0
ENSG00000264339,0,0,0,0
ENSG00000264365,0,0,0,0
ENSG00000264421,0,0,0,0
ENSG00000264431,0,0,0,0
ENSG00000264434,0,0,0,0
ENSG00000264435,0,0,0,0
ENSG00000264449,0,0,0,0
ENSG00000264451,0,0,0.251866,0.42116
ENSG00000264456,0.618916,0.708725,0.41999,0.746176
ENSG00000264458,0,0,0,0
ENSG00000264472,0,0,0,0
ENSG00000264475,0,0,0,0
ENSG00000264486,0,0,0,0
ENSG00000264490,0,0,0,0
ENSG00000264491,0,0,0,0
ENSG00000264497,0,0,0,0
ENSG00000264503,0,0,0,0
ENSG00000264513,0,0,0,0
ENSG00000264514,0,0,0,0
ENSG00000264520,0,0,0,0.371362
ENSG00000264545,0,0.72885,0,0.642931
ENSG00000264546,0.040194,0.175925,0.138218,0.166352
ENSG00000264548,0.56009,0.704949,0.431008,0.745236
ENSG00000264558,0,0,0,0
ENSG00000264577,0,0.152335,0.0920545,0.102041
ENSG00000264578,0,0,0,0
ENSG00000264587,0,0,0,0
ENSG00000264595,0,0,0,0
ENSG00000264596,0,0,0,0
ENSG00000264622,0,0,0,0
ENSG00000264634,0,0,0,0
ENSG00000264635,0.428661,0.380933,0.0469783,0.723688
ENSG00000264647,0,0.464005,0,0
ENSG00000264659,0,0,0,0
ENSG00000264660,0,0.0480427,0,0
ENSG00000264662,0,0,0,0
ENSG00000264666,1.49849,1.86075,0.364748,0.505325
ENSG00000264668,0.422134,0.688026,1.02859,0.791515
ENSG00000264673,0,0,0,0
ENSG00000264689,0,0,0,0
ENSG00000264693,0,0,0,0
ENSG00000264695,0,0.192672,0,0
ENSG00000264701,1.01364,0,0,0
ENSG00000264705,0,0,0,0
ENSG00000264727,0,0.0453697,0,0
ENSG00000264729,0,0,0,0
ENSG00000264734,0,0,0,0
ENSG00000264735,0.104724,0.140863,0,0
ENSG00000264739,0,0,0.0468236,0
ENSG00000264750,0,0,3.02317,0
ENSG00000264754,0,0,0,0
ENSG00000264765,0,0,0,0
ENSG00000264769,0,0,0,0
ENSG00000264772,2.97218,3.10793,3.32491,3.59287
ENSG00000264785,0,0,0,0
ENSG00000264790,0.16298,0,0,0
ENSG00000264808,1.32938,1.10562,0.579699,0.55621
ENSG00000264812,0.464921,0.218685,0.52417,0.300456
ENSG00000264813,0,0.0179605,0,0
ENSG00000264825,0,0,0,0
ENSG00000264829,0,0,0,0
ENSG00000264834,0,0,5.70954,0
ENSG00000264843,0,0,0,0
ENSG00000264853,0.0758342,0.0465243,0,0
ENSG00000264860,0,0,0.210089,0
ENSG00000264869,0,0,0.19005,0
ENSG00000264876,0,0,0,0
ENSG00000264880,0,0.157124,0.748187,0.210351
ENSG00000264881,11.8526,0,0,0
ENSG00000264895,0.12308,0.0829584,0.135006,0.111176
ENSG00000264911,0,0,0,0
ENSG00000264914,0,0,0,0
ENSG00000264924,0,0,0,0.443151
ENSG00000264932,0,0,0,0
ENSG00000264937,0,0,0,0
ENSG00000264956,0.618117,0.424584,1.52026,0.947558
ENSG00000264968,0.452849,0.627655,1.35337,0.27992
ENSG00000264970,0,0,0,0
ENSG00000264982,0,0,0,0
ENSG00000264985,0.0743312,0,0.0326277,0.102025
ENSG00000265008,1.9968,0.735929,1.52679,0.492348
ENSG00000265010,1.14114,0.707502,1.24048,1.41953
ENSG00000265015,0,0,0,0
ENSG00000265028,0,0,0,0
ENSG00000265031,0,0,0,0
ENSG00000265043,0,0.0156385,0,0
ENSG00000265055,0.229722,0.636772,0.981629,0.445644
ENSG00000265069,0,0,0,0
ENSG00000265073,0,0,0.294552,0
ENSG00000265091,0,0,0,0
ENSG00000265094,0,0,0,0
ENSG00000265100,0.27293,0.372816,0.18137,0.131527
ENSG00000265101,0,0,0,0
ENSG00000265113,0,0,0,0
ENSG00000265115,0.313888,0,0,0
ENSG00000265118,0,0,0,0
ENSG00000265121,0.571004,0.0292357,0,0.174796
ENSG00000265125,0,0,0,0
ENSG00000265128,0,0,0,0
ENSG00000265136,0,0,0,0
ENSG00000265139,0.50838,0,0,0
ENSG00000265168,0,0,0,0
ENSG00000265174,0,0.186885,0,0
ENSG00000265179,0,0.0720879,0.0543478,0
ENSG00000265188,0,0,0,0
ENSG00000265194,0,0.0194546,0,0.0261653
ENSG00000265204,0,0,0,0
ENSG00000265205,0,0,0,0
ENSG00000265206,0,0,0.0926711,0.0509794
ENSG00000265217,0,0,0,0
ENSG00000265218,1.13275,0.68942,0.513585,0.70012
ENSG00000265222,0,0,0,0
ENSG00000265246,0,0,0,0
ENSG00000265254,1.12592,3.28098,1.84538,1.61734
ENSG00000265257,0,0,0,0
ENSG00000265261,0,0,0,0
ENSG00000265265,0,0,0,0
ENSG00000265282,0,0,0,0
ENSG00000265287,0,0,0.147282,0
ENSG00000265289,0.144757,0,0,0.354601
ENSG00000265298,0,0,0,0
ENSG00000265303,1.94556,0,2.33655,0
ENSG00000265334,0,0,0,0
ENSG00000265337,0,0,0,0
ENSG00000265342,0,0.272285,0,0
ENSG00000265349,0,4.0708,2.83632,1.07505
ENSG00000265359,0,0,1.25144,0
ENSG00000265380,0,0,0,0
ENSG00000265393,3.11796,3.86915,4.14781,5.17169
ENSG00000265394,0,0.256887,0,0
ENSG00000265399,0,0,0.0421278,0
ENSG00000265400,0,0,0,0
ENSG00000265401,1.86895,0.765589,0.907217,2.56286
ENSG00000265408,0,0,0,0
ENSG00000265413,0.0860845,0.0257795,0,0.207291
ENSG00000265415,0,0.353751,0,0
ENSG00000265417,0,0,0.0719205,0
ENSG00000265421,0,0,0,0
ENSG00000265425,0,0,0,0
ENSG00000265428,0,0,0,0
ENSG00000265437,0,0,0,0
ENSG00000265443,0.833383,1.34426,0,0.514297
ENSG00000265445,0,0,0,0
ENSG00000265460,0,0,0,0
ENSG00000265474,0,0,0,0
ENSG00000265477,0,0,0,0
ENSG00000265478,0.526625,0.953193,0.329692,1.27705
ENSG00000265484,0,0,0,0
ENSG00000265490,0,0,0,0
ENSG00000265494,0.100448,0.358533,0.29545,0.223647
ENSG00000265496,0,0,0,0
ENSG00000265511,0,0,0,0
ENSG00000265519,0,0,0,0
ENSG00000265542,0,0.184553,0.437636,0
ENSG00000265547,0,0,0,0
ENSG00000265552,0,0,0,0
ENSG00000265554,0,0,0,0
ENSG00000265579,0,0,0,0.0364019
ENSG00000265618,0.296192,0.116604,0.141438,0.624927
ENSG00000265625,0,0.0628864,0,0.168512
ENSG00000265626,0,0,0,0
ENSG00000265630,0,0,0,0
ENSG00000265643,0.229722,0,0,0.704162
ENSG00000265656,0.435665,0,0,0
ENSG00000265670,0,0,0,0
ENSG00000265671,0,0,0,0
ENSG00000265678,0,0,0,0
ENSG00000265689,0,0,0,0
ENSG00000265690,1.90415,2.17721,2.98985,3.35057
ENSG00000265693,0,0,0,0.420948
ENSG00000265702,0.313765,0,0,0.192646
ENSG00000265712,0,0,0,0
ENSG00000265713,0.0780866,0,0,0
ENSG00000265717,0,0,0,0
ENSG00000265728,0.44701,0.56765,0.685368,0.434542
ENSG00000265737,0,0,0,0
ENSG00000265739,0,0.148313,0,0
ENSG00000265743,0.250575,0,0,0
ENSG00000265749,0,0,0,0.553173
ENSG00000265750,1.44224,2.03901,1.04815,2.1983
ENSG00000265751,0,0,0,0
ENSG00000265752,0,0,0,0
ENSG00000265775,0,0,0,0
ENSG00000265784,0,0,0,0
ENSG00000265791,0,0,0,0
ENSG00000265794,0,0,0,0
ENSG00000265798,0,0.14117,0.168497,0
ENSG00000265799,0.166576,0.152806,0,0.204567
ENSG00000265800,2.07856,1.46325,1.13497,3.22341
ENSG00000265801,0,0,0.505192,0
ENSG00000265815,0,0,0,0
ENSG00000265840,0,0,0,0
ENSG00000265844,0,0.142991,0,0
ENSG00000265845,0,0,0.148115,0.290698
ENSG00000265907,0.018948,0,0.0208243,0
ENSG00000265908,0,0,0,0
ENSG00000265912,0,0.0479939,0,0
ENSG00000265916,1.34049,0.224397,1.01168,0.47033
ENSG00000265927,0,0,0,0
ENSG00000265935,0,0,0,0
ENSG00000265936,0,0,0,0
ENSG00000265943,0.456724,1.11518,0.998618,0.933312
ENSG00000265946,0,0,0,0
ENSG00000265948,0.309727,0.573582,0.336505,0
ENSG00000265964,0,0,0,0
ENSG00000265967,0,0,0.173228,0.583404
ENSG00000265971,0,0,0,0
ENSG00000265975,0.314548,0.576384,0,0.192951
ENSG00000265980,0,0,0,0
ENSG00000265982,5.65456,14.6115,0,0
ENSG00000265994,0,0.221176,0,0
ENSG00000266002,0,0,0,0
ENSG00000266003,0,0,0,0
ENSG00000266049,0,0,0.134867,0
ENSG00000266050,0,0,0,0
ENSG00000266076,0.0804751,0,0,0
ENSG00000266086,10.515,9.60472,8.70167,7.08325
ENSG00000266088,0,0,0,0
ENSG00000266100,0,0,0,0
ENSG00000266101,0,0,0,0
ENSG00000266102,0,0,0,0
ENSG00000266105,0,0,0,0
ENSG00000266111,0.48219,0,0,0
ENSG00000266114,0,0,0,0
ENSG00000266126,1.50793,0,1.64473,0.749858
ENSG00000266149,0,0,0,0.167324
ENSG00000266155,1.16545,2.16941,1.26148,0
ENSG00000266171,0,0,0,0.120886
ENSG00000266179,0,0,0,0
ENSG00000266184,0,0,0,0
ENSG00000266188,5.9513,0,19.0531,0
ENSG00000266190,0,0,0,0
ENSG00000266202,0,0,0,0
ENSG00000266208,3.39011,3.59346,2.45561,2.19596
ENSG00000266213,0,0,0,0
ENSG00000266222,0,0,0,0
ENSG00000266237,0.0915239,0.154203,0,0.11125
ENSG00000266248,0,0,0,0
ENSG00000266261,0,0,0,0
ENSG00000266268,0,0,0,0.192951
ENSG00000266270,0,0,0,0
ENSG00000266279,0,0,0,0
ENSG00000266283,0,0,0,0
ENSG00000266288,0,0,0,0
ENSG00000266289,0.604767,0,0,0
ENSG00000266302,0.0171235,0,0.0174924,0.00999992
ENSG00000266306,0,0.0435704,0.159024,0
ENSG00000266311,0,0.0718308,0,0
ENSG00000266313,0.359321,0,0,0
ENSG00000266335,0,0,0,0
ENSG00000266340,6.76217,6.82636,6.54705,9.51961
ENSG00000266341,0,0,0,0
ENSG00000266356,0,0,0,0
ENSG00000266365,0,0,0,0
ENSG00000266368,0.41258,0,0.469955,0.509099
ENSG00000266369,0,0,0,0
ENSG00000266371,0.0947027,0.135463,0,0.0593152
ENSG00000266373,0,0,0,0
ENSG00000266378,0.0312373,0.0567345,0.137055,0.305982
ENSG00000266385,0,0.295952,0,0.195865
ENSG00000266397,0,0,0,0
ENSG00000266401,0.172312,0.250974,0,0
ENSG00000266446,0.908935,0,0.248046,0
ENSG00000266448,0,0,0,0
ENSG00000266450,0,0,0,0
ENSG00000266456,0.232683,0.296212,0.28784,0.388011
ENSG00000266460,0,0,0,0
ENSG00000266466,0,0,0,0
ENSG00000266469,0.372169,0.402507,0.583242,0.761105
ENSG00000266479,0,0,0,0
ENSG00000266489,0,0,0,0
ENSG00000266490,2.06976,1.71681,3.61676,4.08652
ENSG00000266495,0.272065,0,0.594224,0
ENSG00000266498,0.118386,0,0.647694,0.144501
ENSG00000266505,0,0,0,0
ENSG00000266521,0,0.211461,0,0
ENSG00000266522,0,0,0,0
ENSG00000266527,0,0,0.0322107,0
ENSG00000266538,1.16737,1.08641,0,1.45198
ENSG00000266541,1.1893,0.153231,0.365041,1.02564
ENSG00000266561,0,0,0,0
ENSG00000266573,0.783793,0,0.0472032,0
ENSG00000266578,0,0,0,0.0735337
ENSG00000266579,0,0,0,0.83152
ENSG00000266588,0,0,0,0
ENSG00000266598,0,0.303929,0,0.203442
ENSG00000266599,0,0,0,0
ENSG00000266601,0.352,1.30972,0,0
ENSG00000266602,0.0503199,0.11042,0.0537021,0.193803
ENSG00000266614,0,0,0,0
ENSG00000266642,0.147513,0,0,0
ENSG00000266644,0.23414,0.144172,0.521833,0
ENSG00000266651,0,0.39205,0,0
ENSG00000266654,0,0,0,0.41576
ENSG00000266664,0,0,0,0
ENSG00000266667,0.330476,0.151551,0.361168,0
ENSG00000266673,0,0,0,0
ENSG00000266677,1.062,0.0836291,0.193404,0.479554
ENSG00000266680,0.24896,1.30157,0.764243,0.541264
ENSG00000266696,0,0,0,0
ENSG00000266708,0,0,0,0
ENSG00000266709,1.70101,2.65171,1.8653,2.85274
ENSG00000266711,0,0,0,0
ENSG00000266717,0,0,0,0
ENSG00000266718,0.0680716,0.0314028,0.0763609,0.0202816
ENSG00000266728,0,0.312508,0.577463,0
ENSG00000266743,0,0,0,0
ENSG00000266744,0.356043,0.163585,0.194509,0.437963
ENSG00000266767,0,0,0,0
ENSG00000266775,0,0,0,0
ENSG00000266783,0.357432,0.260604,0.609632,0.345576
ENSG00000266801,0.129568,0.118244,0,1.42542
ENSG00000266802,0,0,0,0
ENSG00000266803,0,0.107229,0.1288,0
ENSG00000266805,0,0,0.0203901,0.067956
ENSG00000266806,0,0,0,0
ENSG00000266818,0,0,0,0
ENSG00000266821,0.149066,0,0.084579,0.104484
ENSG00000266824,0.819678,0.188854,0.447662,0
ENSG00000266830,0,0,0,0
ENSG00000266839,0,0,0,0
ENSG00000266844,0.107842,0.239974,0.582346,0.375209
ENSG00000266846,0,0,0,0
ENSG00000266850,0.996911,0.678636,1.53785,0.349944
ENSG00000266865,4.23257,4.86706,8.04495,5.94906
ENSG00000266869,0,0,0,0
ENSG00000266872,0,0,0,0
ENSG00000266876,0.0746533,0,0.0826191,0
ENSG00000266877,0,0,0,0.187604
ENSG00000266885,0,0.0954269,0.0194587,0.0852636
ENSG00000266891,0,0,0,0.371362
ENSG00000266893,0.111761,0,0,0
ENSG00000266896,0.496153,0.60776,0.693407,0.914478
ENSG00000266897,0.84706,0.532102,0.883657,1.00474
ENSG00000266900,0.0858036,0,0,0
ENSG00000266901,0,0,0,0
ENSG00000266905,0,0.299825,0,0
ENSG00000266906,0,0,0,0
ENSG00000266907,0,0,0.0674695,0
ENSG00000266908,0,0,0,0.0424105
ENSG00000266910,0.519882,0.56641,0.341049,0.758787
ENSG00000266918,2.53012,1.56344,1.64588,1.73585
ENSG00000266922,0,0,0,0
ENSG00000266923,0,0,0,0
ENSG00000266924,0,0,0,0
ENSG00000266925,0,0,0,0
ENSG00000266928,0,0,0,0
ENSG00000266929,0,0.257211,0,1.1461
ENSG00000266931,0,0,0,0
ENSG00000266932,0,0,0,0
ENSG00000266934,0.121654,0.305667,0,0
ENSG00000266936,0,0,0,0
ENSG00000266938,0,0,0,0
ENSG00000266941,0,0,0,0
ENSG00000266944,0.307213,0,0,0
ENSG00000266947,0.902027,0.999631,0.599021,0.77593
ENSG00000266950,0,0,0,0
ENSG00000266951,0,0.129005,0,0
ENSG00000266953,0,0.635566,0,1.93331
ENSG00000266954,0,0,0,0
ENSG00000266955,0,0.155802,0,0
ENSG00000266957,0,0,1.07421,0
ENSG00000266959,0,1.73992,6.06415,0
ENSG00000266961,0,0,0.440456,0
ENSG00000266963,0,0,0,0
ENSG00000266965,0,0,0.0441029,0.0485054
ENSG00000266968,0,0,0,0
ENSG00000266973,0,0,0,0
ENSG00000266976,0.244593,0.344735,0.418924,0.532776
ENSG00000266977,0,0,0,0
ENSG00000266978,0,0,0,0
ENSG00000266980,0,0,0,0.103324
ENSG00000266981,0,0.143363,0,0
ENSG00000266985,0.119801,0,0.305039,0
ENSG00000266987,0,0,0,0
ENSG00000266988,0,0.0569906,0.104322,0.0381874
ENSG00000266990,0.129568,0,0,0.0208271
ENSG00000266993,2.1036,0.449563,2.6954,0.452929
ENSG00000266994,0,0.144469,0,0.193456
ENSG00000266995,0,0,0,0
ENSG00000266997,0,0.338288,0,0
ENSG00000266998,0.189596,0.0510223,0.041607,0.022794
ENSG00000267000,0,0,0,0.235416
ENSG00000267001,7.25567,4.21615,6.87985,1.32061
ENSG00000267002,9.35396,8.44435,9.39027,13.702
ENSG00000267004,0,0,0,0
ENSG00000267005,0,0,0,0
ENSG00000267007,0,0,0,0
ENSG00000267009,0.434827,0.50602,0.537862,0.825999
ENSG00000267011,2.21252,1.15854,2.0657,2.22114
ENSG00000267015,0,0,0,0
ENSG00000267016,0,0,0,0
ENSG00000267022,0.15082,0.154755,0.638785,0.000465398
ENSG00000267024,0.443249,0.409182,0.241945,1.36957
ENSG00000267026,0,0,0,0
ENSG00000267030,2.30113,1.50728,2.33521,3.02698
ENSG00000267033,0.746491,0,0,0
ENSG00000267038,0,0,0,0
ENSG00000267040,1.79495,3.23842,3.29646,4.00176
ENSG00000267042,1.47154,0.8995,0.714734,0.802924
ENSG00000267044,0.600986,0,0,0
ENSG00000267047,0,0.340136,0.403992,0.205418
ENSG00000267048,1.66649,2.00708,1.2639,0.842124
ENSG00000267049,0,0,0,0
ENSG00000267051,0,0,0,0
ENSG00000267052,0.0429915,0.0781887,0.0476058,0
ENSG00000267053,0.0280014,0,0,0.0156894
ENSG00000267054,0,0,0,0
ENSG00000267055,0,0,0,0
ENSG00000267056,0,0,0,0
ENSG00000267058,1.37215,0.459872,1.10474,0.489588
ENSG00000267059,65.4617,60.4264,64.5409,65.256
ENSG00000267061,0,0,0,0
ENSG00000267062,0.441959,0,0,0
ENSG00000267063,0,0,0,0
ENSG00000267069,0,0,0,0
