,h3.1,h3.2,h3.3,h11.1,h11.2,h11.3
SLC25A14P1,1.21096,1.09632,0.931935,0,0.143188,0.0829845
SLC25A15,10.1666,12.2618,10.8466,12.0285,14.1052,12.7412
SLC25A15P1,0,0,0,0,0,0
SLC25A16,9.64871,9.46761,7.92648,7.28095,8.42308,8.91748
SLC25A17,33.0319,37.0744,34.396,42.6039,45.6404,43.6162
SLC25A1,74.7055,77.6083,75.7597,76.8248,0.129698,0.495509
SLC25A18,0.273878,0.19679,0.255951,0.324879,89.5607,87.9052
SLC25A18P1,0,0,0,0,0,0
SLC25A19,21.0021,22.7298,19.789,25.1852,25.8887,24.363
SLC25A1P1,0,0,0,0,0,0
SLC25A1P2,0,0,0,0,0,0
SLC25A1P3,0,0,0,0,0,0
SLC25A1P4,0,0,0,0,0,0
SLC25A1P5,0,0,0,0,0,0
SLC25A2,0.0509803,0,0.0497664,0,0,11.053
SLC25A20,8.55931,11.4746,9.22031,12.2578,13.0498,0.145646
SLC25A20P1,0,0,0,0,0,0
SLC25A21,2.00474,3.75296,5.20249,5.06324,2.82933,4.29957
SLC25A21-AS1,4.71161,6.04353,6.50091,1.81232,2.32567,1.41076
SLC25A22,18.3185,20.5701,21.7234,16.937,16.9523,20.0304
SLC25A23,35.0005,38.4663,38.0077,38.3088,38.7375,40.9871
SLC25A24,12.3223,12.5419,10.8586,18.128,16.1936,14.7365
SLC25A24P1,0,0,0,0,0,0
SLC25A24P2,0,0,0,0,0,0
SLC25A25,8.8878,10.4869,9.47751,11.0927,11.641,13.1292
SLC25A25-AS1,2.61196,3.18953,3.00802,2.48835,1.92629,2.71061
SLC25A26,14.574,15.1358,13.2992,17.147,16.5435,16.954
SLC25A27,19.8473,18.9996,22.5735,25.7596,19.3483,24.7155
SLC25A28,56.321,66.3357,59.8486,47.2597,42.8531,47.6261
SLC25A29,12.9581,15.3892,14.3652,13.1379,15.1352,14.5196
SLC25A30,8.28964,8.82863,7.74429,10.0067,7.59375,9.1057
SLC25A30-AS1,0.118661,0.429417,0.34974,0,0,0.229206
SLC25A31,0.193526,0,0,0,0.0318511,0.0735299
SLC25A32,16.4619,13.9947,13.9822,17.7598,18.0496,17.6708
SLC25A3,312.444,318.019,303.843,6.03341,6.98411,6.68376
SLC25A33,5.71302,5.66105,4.84988,371.351,0.715612,381.705
SLC25A34,0.315503,0.325884,0.751954,0.309272,408.747,0.346223
SLC25A34-AS1,0,0,0,0,0,0
SLC25A35,6.96338,6.48787,4.96561,5.90287,6.94,5.67035
SLC25A36,41.5364,40.4941,42.501,45.6279,47.3592,43.0576
SLC25A36P1,0,0,0,0,0,0
SLC25A37,16.4942,17.4608,15.5333,16.8845,13.8275,15.0507
SLC25A38,30.41,35.9682,31.8463,39.1638,36.8969,35.4382
SLC25A38P1,0,0,0,0,0,0
SLC25A39,151.558,160.654,150.178,131.686,145.876,140.614
SLC25A39P1,0,0,0,0,0,0
SLC25A3P2,0,0,0,0,0,0
SLC25A3P3,0,0,0,0,0,0
SLC25A40,6.21598,8.11865,9.10042,7.98741,8.73927,7.95314
SLC25A41,0.102782,0.372468,0.0501691,0.13777,0.306552,0.097888
SLC25A4,19.0657,21.6384,18.5333,24.1839,23.2048,25.0765
SLC25A42,5.19971,6.80346,8.05811,5.73966,5.51985,7.40995
SLC25A43,2.89095,2.9134,3.29471,2.51913,2.0941,1.93511
SLC25A44,23.0971,17.2913,16.9346,19.9486,22.3213,23.4676
SLC25A45,2.21657,2.97245,2.56473,3.03071,3.38734,2.24282
SLC25A46,16.8709,19.5583,18.2731,22.4862,21.2395,22.1566
SLC25A47,0.137854,0,0,0.0821025,0.113542,0.037522
SLC25A47P1,0,0,0,0,0,0
SLC25A48,3.07856,2.50163,2.05237,3.44878,1.98453,2.63399
SLC25A48-AS1,0,0,0,0,0,0
SLC25A51,9.30051,10.9089,8.60374,9.7531,12.2079,9.43762
SLC25A51P1,0,0,0,0,0,0
SLC25A51P2,0,0,0,0,0,0
SLC25A51P3,0,0,0,0,0,0
SLC25A51P4,3.46598,2.97652,2.90321,3.32442,3.3069,3.77028
SLC25A52,0.13856,0.302451,0.245773,0.278914,0.227763,0.670889
SLC25A53,6.46389,6.27171,6.63542,5.57929,6.79475,7.61362
SLC25A53P1,0.0844371,0.305786,0.0826875,0.151151,0.0698716,0
SLC25A5,502.348,539.903,523.11,609.163,638.116,596.253
SLC25A5-AS1,1.46101,1.93689,1.26449,1.39827,1.19185,0.956408
SLC25A5P1,0,0,0,0,0,0.0833413
SLC25A5P2,0,0,0,0,0,0
SLC25A5P3,0,0.080041,0,0,0,0
SLC25A5P4,0,0,0,0,0,0
SLC25A5P5,0,0,0,0,0,0
SLC25A5P6,0,0,0,0,0,0
SLC25A5P7,0,0,0,0,0,0
SLC25A5P8,0,0,0,0,0,0
SLC25A5P9,0,0,0,0,0,0
SLC25A6,357.472,366.766,346.801,476.53,482.76,480.063
SLC25A6P1,0,0,0,0,0,0
SLC25A6P2,0,0,0,0,0,0
SLC25A6P3,0,0,0,0,0,0
SLC25A6P4,0,0,0,0,0,0
SLC25A6P5,0.218853,0.26425,0.171079,0.0652592,0.316964,0.0697915
SLC26A1,0.221633,0.548831,0.019113,0.180648,0.191816,0.0829193
SLC26A10,4.87309,5.8072,5.25308,4.34443,3.16655,5.5724
SLC26A11,9.31411,9.93689,9.41493,8.31614,9.26546,10.7548
SLC26A2,4.14513,4.37985,3.89184,4.16427,4.33238,4.13122
SLC26A3,0,0,0,0,0,0
SLC26A4,0.147378,0.113937,0.145231,0.209236,0.380312,0.237336
SLC26A4-AS1,0.603623,1.37854,1.28093,0.553889,0.465443,0.526601
SLC26A5,0,0.0803059,0,0,0,0
SLC26A5-AS1,0,0.0225806,0.0727743,0,0,0.0471889
SLC26A6,21.329,21.5793,18.8808,17.7518,18.7988,17.8913
SLC26A7,0.0962836,0.142359,0.0780684,0.224884,0.12735,0.29699
SLC26A8,0.0235729,0.0426916,0.11101,0.0209925,0.28127,0.0445495
SLC26A9,0.0163641,0,0,0,0.01343,0
SLC27A1,2.67147,2.3855,1.70255,2.09677,2.37511,1.7837
SLC27A2,9.49143,9.45909,7.85191,7.98328,8.19936,7.9856
SLC27A3,4.73575,4.4699,5.75229,5.64562,3.21804,2.99149
SLC27A4,23.3511,22.2399,22.1547,18.1457,18.3275,18.4973
SLC27A5,8.10413,9.77388,8.39092,9.83744,7.06256,9.83129
SLC27A6,0.539096,0.70709,0.466859,0.864842,0.914972,0.34076
SLC28A1,0,0.0290385,0,0.0286035,0.0636131,0.0508048
SLC28A2,0.0614898,0.0557214,0.0451601,0.0543897,0,0
SLC28A2-AS1,0.372299,0.336453,0.861951,0.0881459,0.361201,0.430587
SLC28A3,0,0.0361719,0,0.0118612,0.01091,0.0125654
SLC29A1,55.3577,56.316,53.396,51.8439,51.4548,50.6885
SLC29A2,20.485,21.4909,19.9822,19.1266,19.2201,20.6619
SLC29A3,2.05543,2.28789,2.25015,1.77813,1.98527,2.78391
SLC29A4,3.95725,4.24782,4.36665,4.25041,3.29707,4.87313
SLC29A4P2,0,0,0,0,0,0
SLC2A10,0.424,0.633428,0.677644,0.8476,0.713999,0.68289
SLC2A11,7.56757,9.79174,9.76999,11.3213,10.8058,7.48828
SLC2A12,0.920549,1.06978,1.21662,1.34735,1.22908,1.49341
SLC2A13,2.41311,3.10703,3.40209,3.4207,4.05817,2.96054
SLC2A13P1,0,39.1412,0,0,0,0
SLC2A14,0.812837,0,0.581861,0.04214,0.284629,0.450655
SLC2A1,45.4202,0.0399694,41.2456,40.325,40.4107,41.6717
SLC2A1-DT,0.588609,0.659064,0.756286,0.655987,0.219372,1.63004
SLC2A2,0,0,0,0,0,0
SLC2A3,1.97738,1.23011,1.2439,2.69839,1.91311,2.25789
SLC2A3P1,0,0.306296,0.708034,0.813817,1.39557,2.26892
SLC2A3P2,0,0,0.0472985,0.0866025,0,0.0461281
SLC2A3P4,0,0.0442112,0,0,0.0402053,0
SLC2A4,1.05798,0.637534,0.616183,0.764371,0.524863,0.446802
SLC2A4RG,33.5286,40.616,36.6318,34.9384,37.6648,37.6307
SLC2A5,0.100236,0.148302,0.172495,0.219732,0.0832522,0.473761
SLC2A6,4.47537,5.09867,3.41981,5.10894,5.38407,5.94813
SLC2A7,0,0,0,0,0,0
SLC2A8,16.8375,12.7909,15.7196,15.0527,12.4696,16.9289
SLC2A9,0.11691,0,0,0,0.139454,0.0902624
SLC2A9-AS1,0,0,0,0,0,0
SLC30A10,0.749873,0.564996,0.716383,0.54536,0.458709,0.596656
SLC30A1,5.64681,5.43305,4.93928,6.13851,6.10212,5.9748
SLC30A2,0,0.197187,0.053203,0.0776377,0,0.0205892
SLC30A3,5.72337,4.79801,5.14631,4.7628,6.14586,5.77691
SLC30A4,1.61391,1.77254,2.03651,1.9,1.28166,1.62886
SLC30A5,34.0606,39.8906,33.9778,38.1554,35.8711,38.303
SLC30A6,8.44706,10.4473,8.73679,11.1293,11.5226,10.9562
SLC30A6-DT,10.7413,11.9607,14.6318,1.21286,1.07698,1.16185
SLC30A6P1,0,0,0,0,0,0
SLC30A7,5.95276,5.7975,5.55043,5.38865,5.04544,6.12018
SLC30A8,0.0125653,0,0,0,0.0103076,0.0494268
SLC30A9,43.9144,43.6796,45.6164,53.2927,53.9769,54.0395
SLC31A1,17.3376,18.164,16.9358,18.6353,17.6961,19.0404
SLC31A1P1,0,0,0,0,0,0
SLC31A2,2.92804,2.15498,3.2683,3.61762,2.79523,2.27202
SLC32A1,0.160425,0.0484707,0.0260412,0.0238635,0.153796,0.12667
SLC33A1,15.8652,17.3708,15.8015,17.3157,17.4607,17.5778
SLC34A1,0,0,0,0,0,0.0499733
SLC34A2,0.135031,0.306372,0.265404,0,0.0691383,0.229973
SLC34A3,0.137774,0.5496,0.445315,0.136443,0.126736,0.147765
SLC35A1,7.65955,9.71142,9.21133,9.31377,10.2672,9.41754
SLC35A2,21.6933,19.9571,16.4862,20.1306,18.2493,15.808
SLC35A3,13.4736,14.3456,15.3329,15.9137,16.1441,16.5361
SLC35A4,51.0932,55.195,53.34,51.7308,51.3879,49.9357
SLC35A5,19.6159,15.5798,16.5791,21.0354,18.34,22.9602
SLC35B1,56.8513,57.7518,61.9709,52.3799,64.3622,53.1112
SLC35B2,23.2642,24.8025,25.4085,25.7578,25.4292,25.7008
SLC35B3,9.82884,9.31336,9.57807,10.9651,11.0157,10.0551
SLC35B4,20.1735,20.803,20.1279,23.7745,23.3428,24.1516
SLC35C1,4.59793,5.12248,3.62855,4.91632,5.84415,6.49449
SLC35C2,25.027,22.1824,25.1143,28.8497,27.7076,29.5711
SLC35C2P1,0,0,0,0,0,0
SLC35D1,5.49287,6.03606,5.25733,6.89874,6.52724,6.46645
SLC35D2,0.311601,0.435719,0.684513,0.583862,1.06749,0.606974
SLC35D3,0.526977,0.504174,0.882476,0.757856,0.288776,0.49958
SLC35E1,18.2702,19.6985,23.7235,17.693,16.9428,18.1582
SLC35E1P1,0.364256,0.247305,0.089233,0.326134,0.150832,0.349799
SLC35E2A,3.2918,3.31127,3.18996,2.73738,5.56338,4.87494
SLC35E2B,14.8258,16.4634,14.9942,18.6887,18.3985,16.904
SLC35E3,7.34664,6.42603,7.36177,6.0155,7.09718,6.40417
SLC35E4,2.21203,1.98362,1.76199,2.29817,2.48607,2.12769
SLC35F1,5.5359,5.17933,4.96165,7.34319,6.6541,6.07121
SLC35F2,20.6301,20.8757,19.1285,23.0165,21.4614,21.6051
SLC35F3,0.128499,0.0890372,0.187635,0.153408,0.0703487,0.0608099
SLC35F3-AS1,0,0,0,0,0,0
SLC35F4,0.207349,0,0.169317,0.154088,0.143327,0.33485
SLC35F5,11.7811,13.6101,12.8268,12.8937,12.0396,16.3797
SLC35F6,8.83839,9.9437,8.80095,8.50079,9.52148,9.43994
SLC35G1,10.9736,11.3068,9.81559,11.4702,10.845,9.86626
SLC35G2,8.45179,9.98447,7.48172,8.63249,8.45485,7.8203
SLC35G3,0,0,0,0,0,0
SLC35G4,0,0,0,0,0,0
SLC35G5,0.161454,0.146265,0.210202,0,0,0
SLC35G6,0,0,0,0.0401529,0,0
SLC36A1,4.7868,5.02995,4.69887,5.42994,4.21239,6.04476
SLC36A2,0.0617531,0.0638752,0.0329393,0.0300918,0,0
SLC36A3,0.0563993,0.0170453,0.0182952,0,0,0.0177909
SLC36A4,8.77667,8.83986,10.2834,13.0905,16.5207,17.4621
SLC37A1,4.52315,3.74797,3.27271,2.52927,2.58197,2.75394
SLC37A2,0.696867,0.96662,1.07315,2.59474,2.11043,1.35476
SLC37A3,33.5882,29.9688,32.2705,29.3807,29.1074,28.6303
SLC37A4,27.1461,28.8941,27.6039,29.0252,26.9843,29.0577
SLC38A10,20.1987,23.4732,24.7118,27.7869,25.7816,31.8642
SLC38A11,0,0,0,0.0159305,0.0146577,0
SLC38A1,40.2956,39.523,39.1177,49.7017,45.9188,50.6216
SLC38A2,79.9247,78.2787,82.4741,95.1964,90.6581,87.3661
SLC38A2-AS1,0.137552,0,0,0,0,0
SLC38A3,1.85506,3.46561,2.91923,3.58322,4.26666,3.10262
SLC38A4,0.017591,0.0159478,0.242321,0.0470794,0.26846,0.10232
SLC38A5,0.452943,0.623618,0.58004,0.67748,1.07036,0.231764
SLC38A6,8.36212,9.3477,6.92225,7.16249,8.81703,7.24611
SLC38A7,8.58656,10.5907,9.9252,11.0699,9.30671,10.404
SLC38A8,0,0,0,0,0.157939,0
SLC38A9,24.3692,23.5422,25.8633,18.3268,15.2803,18.4488
SLC39A10,16.467,19.9065,16.8757,14.5795,14.0971,12.7781
SLC39A11,5.36738,5.78277,4.98933,6.32754,6.91132,6.72264
SLC39A12,0,0,0,0.0743673,0.136948,0.0488369
SLC39A12-AS1,0.389387,0.481209,0.655598,0.158038,0.0873559,0.201607
SLC39A13,11.7327,13.3205,13.4291,13.3145,15.0636,14.0367
SLC39A14,18.8992,18.95,17.7675,22.6824,23.4069,21.4302
SLC39A1,61.2442,64.7018,58.6975,76.6374,72.1827,72.6662
SLC39A2,0,0.0527546,0.314742,0.376193,0.130124,0.150382
SLC39A3,21.6395,22.7078,23.9685,23.0896,27.1549,24.8196
SLC39A4,41.3548,39.9064,37.6349,37.7378,36.2218,37.2783
SLC39A5,0,0.14991,0.357144,0.448312,0.149324,0.31992
SLC39A6,28.5976,30.0552,27.0027,34.6052,32.7656,36.1739
SLC39A7,116.722,126.548,127.376,77.5898,72.8008,76.1313
SLC39A8,11.1525,11.338,10.1294,15.2537,15.6,14.9013
SLC39A9,13.0119,12.2058,13.0143,17.561,16.3325,16.9407
SLC3A1,0.126184,0,0.095433,0,0,0.0220057
SLC3A2,289.175,320.854,300.537,225.509,248.99,246.117
SLC40A1,0.878743,0.931691,0.988254,1.29813,1.57038,1.39272
SLC41A1,15.6062,16.3758,15.0548,21.1294,17.6769,18.3956
SLC41A2,2.03834,3.22639,2.65543,7.69261,5.10782,6.96581
SLC41A3,15.3776,16.0405,12.4817,17.9304,18.134,18.6689
SLC41A3-AS1,1.11572,0.897223,0.899987,0.400611,0.93399,0.796064
SLC43A1,12.6663,14.1558,14.0972,14.4115,16.3136,15.5408
SLC43A2,3.23681,5.0726,4.95653,3.02393,3.40485,4.89076
SLC43A3,0.632751,0.313573,1.18184,0.614488,0.790683,1.33035
SLC44A1,5.85929,5.84555,5.20947,6.3498,7.18338,6.77504
SLC44A2,14.1355,12.6873,15.1651,17.3787,14.6503,18.7173
SLC44A3,1.14834,1.74895,2.53141,1.88744,1.21558,0.708317
SLC44A3-AS1,0.336935,1.35877,1.52149,0.568855,0.977885,0.908335
SLC44A4,0,0.248533,0.402606,0,0,0
SLC44A5,6.99293,8.21595,7.56609,7.98678,7.76911,8.43043
SLC45A1,0,0.108767,0.0555595,0.0509094,0.0468776,0.232305
SLC45A2,0.331923,0.100291,0.0242771,0.130219,0.27599,0.541556
SLC45A3,2.51378,2.23956,2.13752,3.35382,3.02677,2.86271
SLC45A4,3.49913,2.61326,3.08121,5.12369,4.14024,3.74033
SLC46A1,6.39864,4.54552,5.03954,7.17391,6.96057,7.36056
SLC46A2,0,0,0,0,0,0
SLC46A3,2.17835,2.39053,1.86028,3.1001,3.09741,3.06037
SLC47A1,6.03836,6.93677,6.76555,6.07,6.59452,6.92681
SLC47A1P1,1.0316,0,0,0,0,0.185256
SLC47A1P2,0.129342,0.117148,0.0632127,0,0,0.252242
SLC47A2,0,0,0,0,0.0177605,0
SLC48A1,3.29344,4.49592,3.56137,3.57592,3.1496,4.11469
SLC49A3,0,0,0,0,0,0
SLC49A4,5.53994,5.26436,4.76395,6.21855,6.86983,5.91972
SLC4A10,0,0,0.0506293,0.0858712,0,0.244064
SLC4A1,0.64229,0,0.699021,0.0277885,0.145312,0.0980802
SLC4A11,7.24792,6.24633,8.97785,8.29896,5.90266,6.69716
SLC4A1AP,20.096,21.043,21.7863,27.1768,25.4819,27.3262
SLC4A1APP1,0,0,0,0,0,0.14745
SLC4A2,57.2841,60.4865,56.413,62.2933,54.9398,55.7735
SLC4A3,1.4152,1.65296,1.37498,1.58403,1.7184,1.17363
SLC4A4,0.641828,0.605262,0.589579,0.610285,0.699706,0.716638
SLC4A5,1.05363,0.358655,0.798067,1.94857,1.01232,0.897467
SLC4A7,8.63226,8.42505,5.65943,7.07752,8.50397,7.29158
SLC4A8,0.408053,0.501787,0.855075,1.45566,1.04846,1.19196
SLC4A8-AS1,0,0,0,0,0,0
SLC4A9,0,0.111706,0.121365,0,0.43287,0.0225928
SLC50A1,39.3388,43.8264,40.1268,44.9853,48.3376,46.2964
SLC51A,0,0,0,0,0,0.153416
SLC51B,0,0.0759449,0,0,0.0694077,0
SLC52A1,0.0116737,0.0205712,0.072251,0.0403341,0.106035,0.0547004
SLC52A2,21.3781,20.8614,22.1161,22.1358,24.6264,25.3095
SLC52A3,0.133847,0,0,0,0,0
SLC5A10,0,0.0320451,0,0,0.0288567,0
SLC5A1,0.0139071,0.0630446,0.050796,0.288701,0.0228202,0.0394263
SLC5A11,0.049436,0.738292,0.305604,0.294728,0.923823,0.557495
SLC5A12,0.417065,0.265102,0.205379,0.263477,0.303676,0.509418
SLC5A2,0,0,0,0.392531,0.159376,0
SLC5A3,3.67947,3.61138,3.524,4.14521,3.64232,4.05752
SLC5A4,0,0,0,0,0,0
SLC5A4-AS1,1.02225,1.10682,0.951706,0.856653,1.05205,1.2303
SLC5A5,0.222565,0.289986,0.289848,0.447633,0.258834,0.302968
SLC5A6,42.9249,51.2307,53.3934,43.3459,42.2333,39.4518
SLC5A7,0,0,0,0,0.0104623,0
SLC5A8,0.01666,0.0300882,0.0161464,0.0148028,0,0
SLC5A9,0,0,0.0348152,0,0,0
SLC66A1,21.0805,20.8685,20.2693,19.1944,18.3361,20.6104
SLC66A1L,0,0,0,0,0.133164,0
SLC66A2,11.3673,10.5267,10.3384,13.6313,12.7442,12.817
SLC66A3,2.51694,4.38825,1.81154,4.02104,3.23289,3.11033
SLC6A1,0.322541,0.268872,0.304422,0.145465,0.285843,0.204541
SLC6A10P,2.31069,3.76025,3.63889,1.52243,1.02631,2.09439
SLC6A11,2.56135,2.86513,2.90116,2.6262,2.37126,2.00026
SLC6A12,0.326591,0.396953,0.966852,0.407211,0.46115,0.703408
SLC6A12-AS1,0.21209,0.191935,0.104057,0,0,0.102147
SLC6A13,0.655363,0,0.629702,1.32528,1.39029,0.56076
SLC6A14,0.0439305,0,0.0284708,0,0,0.0429767
SLC6A14P3,0,0,0,0,0,0
SLC6A15,32.9436,30.4372,36.1318,33.9508,34.9168,36.1442
SLC6A16,1.06734,0.656641,0.181363,0.762275,1.70558,1.33464
SLC6A17,0.50623,0.26824,0.238083,0.583741,0.343001,0.39494
SLC6A18,0,0,0,0,0,0
SLC6A19,0,0,0,0,0,0
SLC6A1-AS1,0,0,0,0.13612,0,0
SLC6A2,0,0,0,0,0.00759298,0.0592957
SLC6A20,0.0535505,0.0246394,0.105267,0.417618,0.19493,0.0379962
SLC6A21P,0,0,0,0,0,0.303346
SLC6A3,0,0,0.0794045,0.030131,0,0
SLC6A4,0.0103616,0.143156,0.0218579,0.0855954,0.0582016,0.0673677
SLC6A5,0,0.120691,0,0,0,0
SLC6A6,8.84642,7.03083,8.42229,10.4273,10.5883,9.16744
SLC6A6P1,0,0,0,0,0,0
SLC6A7,0,0,0,0,0,0
SLC6A8,106.852,109.791,117.899,71.5996,76.6071,76.2018
SLC6A9,8.71466,10.328,9.87386,10.6695,10.6153,10.4939
SLC7A10,0.0863677,0,0.100031,0.0913518,0,0
SLC7A11,4.36836,4.61033,4.38164,4.71004,5.71988,4.86939
SLC7A11-AS1,0,0,0,0,0,0
SLC7A13,0,0,0,0,0,0
SLC7A1,33.6061,34.5893,34.6776,35.2188,34.4156,33.8321
SLC7A14,3.32132,5.40535,5.53531,2.23001,1.05083,2.02343
SLC7A14-AS1,0.284352,0.418708,0,0.208442,0.107249,0.106656
SLC7A15P,0,0,0,0,0,0
SLC7A2,4.83347,5.19518,5.08244,5.45339,5.39273,5.2762
SLC7A2-IT1,0.296211,0,0,0.132939,0,0.143876
SLC7A3,2.12406,1.95049,1.52964,1.48199,1.46594,1.19763
SLC7A4,0,0,0,0,0,0
SLC7A5,82.2447,86.9232,83.1309,86.0197,85.8052,87.6624
SLC7A5P1,0,1.41265,0.189253,3.05884,2.85294,0.644103
SLC7A5P2,0,0,0,0,0.690566,0
SLC7A6,20.1836,21.9672,20.3516,20.4828,18.6635,24.1187
SLC7A6OS,16.2598,18.3592,16.2073,13.6667,14.3262,14.8367
SLC7A7,0.750159,0.785897,0.802752,0.764778,0.38516,0.574105
SLC7A8,4.02518,3.57905,3.36151,5.54116,3.89172,4.31923
SLC7A9,0.368121,0.23578,0.360124,0.790212,0.48675,0.563014
SLC8A1,1.67417,2.03426,1.68483,2.43573,2.93177,2.0312
SLC8A1-AS1,1.11346,3.82196,2.30173,0.514321,1.09887,2.03602
SLC8A2,0.417404,0.122846,0.330267,0.16616,0.775398,0.542305
SLC8A3,0.0849386,0.0116122,0.0464794,0.106495,0.0639764,0.0677897
SLC8B1,3.50419,4.13486,4.60292,5.11733,3.36042,4.49237
SLC9A1,8.02929,8.07611,10.7117,7.39114,7.39805,8.05239
SLC9A2,0.293394,0.666601,0.159797,0.641802,0.429023,1.4878
SLC9A3,1.50989,2.05593,2.16015,1.57117,1.86698,1.29647
SLC9A3-AS1,29.1207,28.4084,32.5628,20.7305,21.0961,23.8132
SLC9A3P2,0,0,0,0,0,0
SLC9A3P3,0,0,0,0,0,0
SLC9A3R1,26.1577,33.8258,29.537,27.8618,35.9771,36.4445
SLC9A3R1-AS1,0,0,0,0,0,0.309191
SLC9A3R2,23.687,20.951,20.7207,26.8083,30.0688,27.4215
SLC9A4,0.0200814,0,0,0,0,0.0154058
SLC9A5,4.30021,3.03668,4.63044,3.53789,3.82487,4.71375
SLC9A6,8.54432,10.1276,8.66831,8.46811,7.67622,7.13174
SLC9A7,4.85002,5.04907,4.26869,6.11061,5.41695,4.11165
SLC9A7P1,0.0202737,0.0739681,0.059908,0.0548885,0,0
SLC9A8,4.40389,4.09467,4.33428,4.77511,4.36297,4.45335
SLC9A9,1.94318,1.75263,1.69956,1.84196,2.11383,1.7594
SLC9A9-AS1,0,0,0,0,0,0
SLC9A9-AS2,0,0,0,0,0,0
SLC9B1,1.33327,0.915979,2.05285,0.885313,0.550692,0.676649
SLC9B1P1,0,0,0,0,0,0
SLC9B1P2,0,0,0,0,0,0
SLC9B1P4,0,0,0,0,0,0
SLC9B2,11.5029,12.9663,10.6022,12.8443,11.5404,12.8244
SLC9C1,0,0,0,0.0664862,0,0
SLC9C2,0.015027,0,0.0491743,0.6849,0,0
SLCO1A2,0,0.0749571,0.168585,0,0,0.0594395
SLCO1B1,0,0,0,0,0,0
SLCO1B3,0.0396922,0,0.0387058,0.0212751,0.0195837,0
SLCO1B3-SLCO1B7,0,0,0,0,0,0
SLCO1B7,0,0.16799,0.183743,0,0,0.181954
SLCO1C1,0.0269748,0.0256989,0.0276189,0,0.023303,0
SLCO2A1,1.16442,0.292941,0.0954366,0.663035,0.59081,0.593046
SLCO2B1,0.0335641,0.0303913,0,0,0.00916373,0.0105522
SLCO3A1,0.247176,0.453511,0.585088,0.870362,1.02165,0.444844
SLCO4A1,9.55734,11.557,9.81271,9.52025,11.4435,9.43992
SLCO4A1-AS1,0,0,0,0,0,0
SLCO4C1,0.728472,0.684074,0.885733,0.974594,0.864404,0.725145
SLCO5A1,1.05613,1.24925,1.08337,1.18878,1.51682,0.926531
SLCO5A1-AS1,1.43486,0.881739,0.925179,0.766315,1.57463,2.20753
SLCO6A1,2.02592,0.538214,0.684437,0.744256,1.42363,0.696222
SLED1,0.289333,0,0,0,0,0
SLF1,15.3642,8.80252,8.88048,12.3543,10.36,10.5576
SLF2,21.5951,26.4203,23.7341,13.2769,12.4389,14.1852
SLFN11,0.9815,0,0.161451,0.0593985,0.0110297,0.299952
SLFN12,0,0,0.106126,0.0243123,0.0232098,0
SLFN12L,0.296458,0.183239,0.193807,0.281949,0.0766635,0.0950498
SLFN13,0.0661361,0.100005,0,0,0.00635349,0.00732411
SLFN14,0.0936487,0,0.0532475,0,0.00747182,0.017199
SLFN5,0.695051,0.689741,0.523047,1.0209,0.892587,0.966878
SLFNL1,0.0153894,0.0339831,0.0731205,0.100461,0.124667,0.168477
SLFNL1-AS1,0.912942,0.887377,0.926368,0.651147,0.779511,0.924727
SLIRP,276.286,292.673,257.097,286.23,310.423,277.427
SLIRPP1,0,0,0,0,0,0
SLIRPP2,0,0,0,0,0,0
SLIT1,1.02761,0.575787,0.722817,0.773927,1.01372,1.10807
SLIT2,23.6151,25.2288,24.547,25.5296,23.4276,24.7674
SLIT2-IT1,0,0.244137,0.265592,0.726461,0.224683,0.392379
SLIT3,0.296709,0.281243,0.3411,0.277253,0.294776,0.395059
SLIT3-AS1,0,0,0,0,0,0
SLIT3-AS2,0.0568855,0.207445,0.101973,0.101746,0,0.0722097
SLITRK1,0.0410503,0,0,0.0566255,0.0224526,0.0387905
SLITRK2,0,0.0233727,0.00830429,0.0344545,0,0.00803688
SLITRK3,1.25786,0.987071,1.37988,1.09077,1.14451,1.12725
SLITRK4,0.0466636,0.0487682,0.0905687,0.0411313,0.0314523,0.0870789
SLITRK5,5.34129,5.21047,5.1486,5.63694,5.85026,5.39463
SLITRK6,0.0156192,0.0850154,0.0456579,0.0418609,0.019259,0.0222007
SLK,19.2291,19.6286,16.6323,23.9523,24.3339,23.5711
SLMAP,21.8204,24.3454,23.1193,29.8814,29.2781,32.9823
SLN,0.114202,0.206671,0.112151,1.0477,0.58692,0
SLPI,0,0,0,0,0,0
SLTM,47.4836,49.8843,43.647,52.3267,54.9552,56.7535
SLU7,35.4064,36.037,34.1143,36.9676,40.6586,46.0439
SLX1A,30.7538,31.5389,31.739,30.9318,28.0911,33.6964
SLX1A-SULT1A3,10.6248,13.837,13.2311,14.5124,12.2482,13.5806
SLX1B,9.66879,4.67697,6.32459,3.55511,9.05736,2.58595
SLX1B-SULT1A4,6.18505,5.70442,5.56812,3.94087,4.44855,4.67536
SLX4,3.69774,3.59222,4.35849,4.28088,3.76965,4.05058
SLX4IP,1.6403,1.80664,2.00575,2.1926,2.44183,1.85167
SLX9,55.0201,47.4505,49.8892,48.8357,55.2081,54.0814
SMAD1,7.06442,9.8792,9.89508,10.2799,12.3296,10.0053
SMAD1-AS1,0,0,0,0,0,0
SMAD1-AS2,0,0,0,0,0,0
SMAD2,15.5793,14.6683,14.4235,19.2759,21.5629,18.9397
SMAD3,8.25933,7.16678,6.93411,10.2587,9.61149,10.3079
SMAD4,13.8569,13.3167,14.3129,17.3356,15.4774,16.7804
